"_time",host,service,"start_mode",status
"1515405645.034","host_11",wuauserv,Auto,Running
"1515405669.576","host_10",wuauserv,Auto,Running
"1515406030.786","host_7",wuauserv,Manual,Stopped
"1515406086.381","host_2",wuauserv,Manual,Running
"1515406261.578","host_13",wuauserv,Manual,Stopped
"1515406370.897","host_9",wuauserv,Auto,Running
"1515406657.833","host_12",wuauserv,Manual,Stopped
"1515407218.036","host_6",wuauserv,Manual,Stopped
"1515407350.134","host_8",wuauserv,Auto,Running
"1515407373.745","host_1",wuauserv,Manual,Running
"1515407406.722","host_3",wuauserv,Manual,Stopped
"1515407901.947","host_15",wuauserv,Manual,Running
"1515407963.306","host_14",wuauserv,Auto,Running
"1515408704.558","host_4",wuauserv,Auto,Running
"1515409195.810","host_5",wuauserv,Manual,Stopped
"1515409591.560","host_11",wuauserv,Auto,Running
"1515409630.915","host_7",wuauserv,Manual,Stopped
"1515409686.827","host_2",wuauserv,Manual,Running
"1515409818.793","host_10",wuauserv,Auto,Running
"1515409971.252","host_9",wuauserv,Auto,Running
"1515410278.982","host_13",wuauserv,Manual,Stopped
"1515410344.257","host_12",wuauserv,Manual,Stopped
"1515410950.771","host_8",wuauserv,Auto,Running
"1515410974.004","host_1",wuauserv,Manual,Running
"1515411232.747","host_6",wuauserv,Manual,Running
"1515411502.578","host_15",wuauserv,Manual,Running
"1515411563.831","host_14",wuauserv,Auto,Running
"1515411704.678","host_3",wuauserv,Manual,Running
"1515412305.129","host_4",wuauserv,Auto,Running
"1515412803.531","host_5",wuauserv,Manual,Stopped
"1515413193.476","host_11",wuauserv,Auto,Running
"1515413231.504","host_7",wuauserv,Manual,Stopped
"1515413287.318","host_2",wuauserv,Manual,Running
"1515413525.316","host_10",wuauserv,Auto,Running
"1515413571.475","host_9",wuauserv,Auto,Running
"1515414163.713","host_13",wuauserv,Manual,Stopped
"1515414437.840","host_12",wuauserv,Manual,Stopped
"1515414551.461","host_8",wuauserv,Auto,Running
"1515414574.529","host_1",wuauserv,Manual,Running
