badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
,,,"2017-02-07T18:52:17.760878Z",user3982,"20170207185217.0Z"
,,,"2018-03-15T04:43:50.000247Z",user4013,"20180315044349.0Z"
,,,"2018-03-14T23:36:11.754373Z",user4014,"20180314233611.0Z"
,"2018-03-15T21:09:45.843427Z",1,"2018-03-15T19:59:23.571836Z",user4024,"20180313190410.0Z"
0,"2018-03-07T23:09:11.293241Z",138,"2018-03-14T13:56:15.949657Z",user4055,"20180307222522.0Z"
0,"2018-03-07T23:07:46.562202Z",3,"2018-03-07T22:17:39.490989Z",user4056,"20180307221739.0Z"
,,,"2018-03-07T00:36:48.411419Z",user4065,"20180307003648.0Z"
2,"2018-03-08T00:10:17.070667Z",2,"2018-03-08T00:09:53.919669Z",user4081,"20180306230403.0Z"
0,"2018-03-07T23:08:32.349613Z",8,"2018-03-12T20:29:18.680700Z",user4088,"20180305030357.0Z"
0,"2018-03-07T23:09:13.715051Z",8,"2018-03-15T15:42:34.322337Z",user4089,"20180305020357.0Z"
0,"2018-03-12T04:45:56.550311Z",20,"2018-03-05T06:18:11.611705Z",user4100,"20180302013452.0Z"
,"2018-03-12T17:06:15.603198Z",2,"2018-03-05T19:39:22.471499Z",user4102,"20180302013441.0Z"
0,"2018-03-12T20:19:55.675411Z",7,"2018-03-12T20:20:21.398903Z",user4133,"20180227030407.0Z"
,"2018-03-09T12:40:18.926748Z",9,"2018-02-26T23:33:53.967715Z",user4135,"20180226233353.0Z"
0,,0,"(never)",user4146,"20180224000400.0Z"
0,"2018-03-12T16:47:13.006293Z",18,"2018-03-05T21:26:39.377377Z",user4153,"20180222090352.0Z"
,,,"(never)",user4169,"20180221200406.0Z"
0,"2018-03-16T11:37:27.014341Z",13,"2018-02-22T08:56:16.555075Z",user4174,"20180221195639.0Z"
0,"2018-03-15T17:08:16.065207Z",33,"2018-03-05T15:24:02.064034Z",user4177,"20180221030357.0Z"
0,"2018-03-12T18:22:02.391328Z",22,"2018-02-22T17:21:01.401314Z",user4186,"20180219085909.0Z"
0,"2018-03-15T16:18:51.999981Z",84,"2018-02-23T14:37:00.478694Z",user4200,"20180216210404.0Z"
0,"2018-03-13T13:08:57.615645Z",19,"2018-02-16T20:11:08.332732Z",user4202,"20180215220410.0Z"
0,"2018-03-15T18:29:04.207460Z",214,"2018-02-26T16:31:35.159604Z",user4230,"20180213060350.0Z"
0,"2018-03-16T15:10:57.032350Z",17,"2018-02-26T21:16:34.289951Z",user4235,"20180213000403.0Z"
,"2018-02-19T22:31:48.391177Z",5,"2018-02-09T21:47:16.557387Z",user4250,"20180209214716.0Z"
0,"2018-03-12T16:35:45.601936Z",33,"2018-02-12T20:16:09.643746Z",user4251,"20180209214653.0Z"
0,"2018-03-14T18:45:49.166468Z",186,"2018-02-20T16:12:24.973977Z",user4255,"20180209090347.0Z"
,"2018-03-13T15:21:25.252746Z",16,"2018-02-20T21:31:27.881780Z",user4263,"20180209080431.0Z"
0,"2018-03-12T07:36:53.188955Z",32,"2018-03-09T05:59:18.146108Z",user4272,"20180208031908.0Z"
,"2018-03-10T04:42:06.719808Z",11,"2018-02-12T07:08:52.163344Z",user4273,"20180208031829.0Z"
,"2018-02-19T23:13:44.440359Z",15,"2018-02-07T06:06:07.905890Z",user4281,"20180207060607.0Z"
0,"2018-03-15T17:49:46.709552Z",68,"2018-02-09T23:26:30.247507Z",user4282,"20180207060453.0Z"
0,"2018-03-05T14:24:23.180205Z",0,"2018-02-02T20:56:30.223865Z",user4296,"20180202205630.0Z"
0,"2018-03-17T12:51:20.035947Z",26,"2018-02-12T21:58:19.120966Z",user4300,"20180202180651.0Z"
0,"2018-02-05T22:39:23.117254Z",4,"2018-02-05T22:39:21.842140Z",user4319,"20180202005507.0Z"
0,"2018-03-15T20:01:30.552617Z",17,"2018-03-08T22:46:09.235754Z",user4335,"20180131070337.0Z"
0,"2018-03-15T02:49:23.130818Z",27,"2018-02-12T08:10:28.772719Z",user4342,"20180131060337.0Z"
0,"2018-03-09T11:14:45.633495Z",32,"2018-02-12T15:14:00.093028Z",user4348,"20180131050516.0Z"
0,"2018-03-15T01:40:12.474715Z",34,"2018-02-12T06:49:16.078157Z",user4349,"20180131050520.0Z"
0,"2018-03-14T10:06:12.440273Z",48,"2018-02-12T06:26:17.828349Z",user4350,"20180131050520.0Z"
0,"2018-03-09T04:06:33.339732Z",40,"2018-02-15T09:38:36.691076Z",user4353,"20180130050336.0Z"
0,"2018-03-12T16:10:31.812251Z",29,"2018-02-05T21:10:13.340382Z",user4373,"20180125010336.0Z"
1,"2018-03-08T15:47:36.572157Z",35,"2018-01-29T18:09:22.821950Z",user4375,"20180124235755.0Z"
0,"2018-03-08T18:58:23.686103Z",45,"2018-02-05T22:36:10.591974Z",user4388,"20180124190339.0Z"
,"2018-02-19T10:18:29.894517Z",22,"2018-01-25T08:26:24.054848Z",user4405,"20180123003046.0Z"
0,"2018-03-14T17:08:12.785587Z",19,"2018-01-24T08:39:27.463508Z",user4408,"20180123001056.0Z"
0,"2018-03-08T21:38:37.918445Z",37,"2018-01-30T20:06:18.605017Z",user4409,"20180123000800.0Z"
0,"2018-03-15T01:58:49.291271Z",19,"2018-02-05T02:23:15.930163Z",user4414,"20180122040330.0Z"
0,"2018-03-15T00:35:18.155290Z",111,"2018-02-05T14:38:27.738930Z",user4420,"20180120000405.0Z"
,"2018-03-12T14:09:41.833654Z",18,"2018-01-18T21:04:55.790112Z",user4434,"20180118210455.0Z"
0,"2018-03-11T22:36:09.553727Z",52,"2018-01-18T21:05:35.479213Z",user4450,"20180117211457.0Z"
0,"2018-03-12T15:07:46.430187Z",22,"2018-01-19T20:24:58.590721Z",user4458,"20180117180636.0Z"
0,"2018-03-10T02:00:01.757947Z",12,"2018-01-18T23:24:39.485360Z",user4467,"20180112071245.0Z"
,"2018-03-05T15:12:33.817016Z",211,"2018-01-22T22:13:07.451544Z",user4470,"20180112030446.0Z"
0,"2018-03-16T15:14:54.271680Z",59,"2018-01-24T12:42:56.122863Z",user4483,"20180110222719.0Z"
0,"2018-03-15T23:03:18.569866Z",27,"2018-01-10T20:23:44.840850Z",user4493,"20180109220359.0Z"
0,"2018-03-15T10:43:22.194874Z",50,"2018-01-22T13:26:12.111830Z",user4496,"20180109210354.0Z"
,,,"2018-01-09T18:39:39.789843Z",user4499,"20180109183939.0Z"
0,"2018-02-18T06:10:42.117911Z",61,"2018-01-10T12:05:37.166407Z",user4532,"20180105190304.0Z"
