"_time",folder,item,user
"1486050165.000",PROPOSALS,"FILE_650","USER_362"
"1486050175.000",PROPOSALS,"FILE_641","USER_362"
"1486050245.000",PROPOSALS,"FILE_636","USER_362"
"1486050266.000",PROPOSALS,"FILE_652","USER_362"
"1486050285.000",PROPOSALS,"FILE_627","USER_362"
"1486050325.000",PROPOSALS,"FILE_612","USER_362"
"1486050365.000",PROPOSALS,"FILE_638","USER_362"
"1486050375.000",PROPOSALS,"FILE_642","USER_362"
"1486050425.000",PROPOSALS,"FILE_619","USER_362"
"1486050605.000",PROPOSALS,"FILE_610","USER_362"
"1486050614.000",PROPOSALS,"FILE_613","USER_362"
"1486050664.000",PROPOSALS,"FILE_623","USER_362"
"1486050674.000",PROPOSALS,"FILE_600","USER_362"
"1486050686.000",PROPOSALS,"FILE_607","USER_362"
"1486050709.000",PROPOSALS,"FILE_141",jsmith
"1486050710.000",PROPOSALS,"FILE_141",jsmith
"1486050752.000",PROPOSALS,"FILE_141",jsmith
"1486050754.000",PROPOSALS,"FILE_620","USER_362"
"1486050815.000",PROPOSALS,"FILE_633","USER_362"
"1486050826.000",PROPOSALS,"FILE_618","USER_362"
"1486050834.000",PROPOSALS,"FILE_635","USER_362"
"1486050884.000",PROPOSALS,"FILE_628","USER_362"
